long,lat,,,
-94.802,41.454,,,
-94.058,41.403,,,
-93.197,41.417,,,
-79.665,41.508,,,
-99.603,47.848,,,
-102.77,33.97,,,
-122.7,40.974,,,
-105.94,40.895,,,
-101.54,40.687,,,
-100.63,40.819,,,
-100.1,40.796,,,
-98.954,40.824,,,
-98.296,40.764,,,
-97.451,40.738,,,
-96.501,40.838,,,
-95.642,40.861,,,
-94.96,40.816,,,
-94.21,40.758,,,
-93.235,40.793,,,
-92.502,40.878,,,
-79.989,40.962,,,
-75.77,40.917,,,
-122.79,40.177,,,
-121.8,40.295,,,
-108.24,40.135,,,
-101.77,40.126,,,
-100.8,40.125,,,
-100.06,40.179,,,
-99.326,40.152,,,
-98.276,40.261,,,
-97.585,40.075,,,
-96.694,40.183,,,
-95.91,40.267,,,
-94.965,40.132,,,
-94.146,40.166,,,
-93.473,40.121,,,
-92.544,40.254,,,
-91.874,40.121,,,
-78.566,40.268,,,
-101.75,39.573,,,
-100.93,39.602,,,
-100.25,39.544,,,
-99.378,39.521,,,
-98.601,39.622,,,
-97.695,39.436,,,
-96.827,39.547,,,
-96.019,39.529,,,
-95.206,39.62,,,
-94.349,39.588,,,
-93.532,39.625,,,
-92.755,39.488,,,
-92.048,39.53,,,
-105.15,38.964,,,
-101.83,39.062,,,
-100.98,38.891,,,
-100.22,38.977,,,
-99.395,39.005,,,
-98.56,38.991,,,
-97.833,38.998,,,
-96.941,38.921,,,
-96.037,38.859,,,
-95.461,38.961,,,
-94.452,38.876,,,
-93.618,38.961,,,
-92.976,39.045,,,
-92.075,38.995,,,
-115.59,38.349,,,
-101.81,38.342,,,
-101.14,38.424,,,
-100.28,38.284,,,
-99.527,38.289,,,
-98.711,38.422,,,
-97.984,38.308,,,
-97.247,38.301,,,
-96.199,38.323,,,
-95.504,38.324,,,
-94.829,38.313,,,
-93.906,38.187,,,
-93.038,38.314,,,
-92.268,38.291,,,
-106.83,37.746,,,
-101.9,37.59,,,
-101.12,37.62,,,
-100.46,37.64,,,
-98.936,37.7,,,
-98.002,37.594,,,
-97.111,37.701,,,
-96.319,37.682,,,
-95.592,37.724,,,
-94.828,37.76,,,
-93.908,37.63,,,
-93.323,37.691,,,
-92.501,37.599,,,
-87.097,40.379,,,
-92.804,45.225,,,
-98.956,44.443,,,
-104.41,37.139,,,
-101.29,37.157,,,
-100.53,37.053,,,
-99.677,37.098,,,
-98.925,37.18,,,
-98.244,37.082,,,
-97.188,37.022,,,
-96.512,36.916,,,
-95.879,37.06,,,
-94.918,37.123,,,
-94.293,37.035,,,
-93.377,37.024,,,
-92.519,37.15,,,
-83.59,31.439,,,
-116.45,33.606,,,
-95.792,35.91,,,
-101.27,36.452,,,
-100.65,36.53,,,
-99.851,36.37,,,
-99.001,36.38,,,
-98.114,36.433,,,
-97.535,36.437,,,
-96.732,36.371,,,
-95.733,36.393,,,
-95.116,36.406,,,
-94.386,36.439,,,
-93.481,36.382,,,
-92.853,36.356,,,
-99.044,35.72,,,
-98.286,35.821,,,
-97.518,35.834,,,
-96.838,35.763,,,
-95.942,35.786,,,
-95.141,35.883,,,
-94.408,35.863,,,
-93.645,35.839,,,
-92.823,35.804,,,
-109.74,35.118,,,
-99.246,35.124,,,
-98.469,35.152,,,
-97.773,35.235,,,
-96.874,35.153,,,
-96.226,35.139,,,
-95.432,35.139,,,
-94.518,35.07,,,
-93.784,35.196,,,
-93.069,35.192,,,
-97.456,31.991,,,
-99.285,34.421,,,
-98.501,34.541,,,
-97.833,34.601,,,
-96.973,34.4,,,
-96.352,34.57,,,
-95.371,34.589,,,
-94.829,34.669,,,
-94.114,34.511,,,
-92.834,34.487,,,
-114.52,33.75,,,
-106.92,34.074,,,
-98.626,34.008,,,
-97.757,33.957,,,
-97.037,33.906,,,
-96.285,33.9,,,
-95.621,33.979,,,
-94.731,33.928,,,
-94.094,33.938,,,
-93.28,,,,#
-98.765,33.286,,,
-97.916,33.371,,,
-97.253,33.331,,,
-96.434,33.27,,,
-95.623,33.198,,,
-94.985,33.26,,,
-94.182,33.242,,,
-93.4,,,,#
-92.803,33.258,,,
